"Tempratuur afgerond op hele normale aantallen KNMI";"Tempratuur in de Kas";"outside Luchtvochtigheid - % - 1 uur";"Plant Straling Par";"prediction(Tempratuur in de Kas)"
13.1;23.9;79;637;25.281297877294836
12.5;25.6;79;374;22.49646990842861
11.6;21.4;92;5;17.883725366510753
11.3;20.9;91;5;17.87772029879954
11.4;17.4;96;5;17.63059456269244
11.9;16.2;100;5;17.5160392962057
11.8;16.1;99;5;17.549627239160653
11.7;16.6;98;5;17.583215182115612
11.6;16.7;100;5;17.456649780206455
12.0;18.7;83;5;18.443371422435412
12.0;20.4;77;306;21.814935640670054
12.0;20.5;77;326;22.017677004690412
11.4;23.1;87;595;24.091924835885393
12.5;24.7;79;665;25.44635675492485
12.6;24.4;68;320;22.55609366207513
12.2;22.5;74;6;18.97356153589493
11.0;21.8;85;6;18.14877454072954
10.3;17.6;92;5;17.62637079718069
10.3;16.5;94;5;17.519601900604616
10.0;16.5;93;5;17.51359683289341
9.8;16.9;94;5;17.42061937393921
9.6;16.5;95;5;17.327641914985005
9.8;17.5;98;5;17.20708158078706
9.7;18.8;100;5;17.080516178877904
10.5;20.6;100;313;20.3611052274561
10.5;21.9;100;383;21.07070000152736
11.0;22.9;100;407;21.4129721650172
11.0;24.0;100;474;22.092155734485406
10.9;26.6;96;451;22.052744453681058
10.4;26.3;91;359;21.28807389396218
10.9;25.5;91;307;20.859928874174653
9.7;23.6;93;6;17.46434438509518
8.0;22.0;97;5;16.904128933079626
7.9;19.2;99;5;16.777563531170472
6.9;18.1;100;5;16.526214029551618
6.2;16.6;100;5;16.38763849222005
6.4;16.7;100;5;16.42723150288621
7.1;16.5;100;5;16.56580704021778
6.2;17.3;99;5;16.441022940508084
7.5;18.6;99;5;16.698377509838142
8.6;19.3;99;65;17.52436316056312
9.6;20.2;97;307;20.282267615116368
12.2;20.6;95;75;18.551945827716388
12.0;21.8;94;129;19.113138948193235
11.8;23.1;94;356;21.374660419158158
11.6;25.0;93;380;21.631741493604462
11.0;25.4;97;377;21.269013463850772
10.9;27.0;95;373;21.31543758228969
11.0;26.6;86;365;21.734597576606966
10.8;25.3;85;41;18.463978917099006
11.2;23.6;80;6;18.45528979283589
11.1;22.5;78;6;18.542262184078883
11.1;21.9;86;6;18.115186597774585
11.0;18.2;83;5;18.245406369104597
11.1;17.1;91;5;17.83812728813338
11.0;16.9;99;5;17.391255196496
11.0;15.9;93;5;17.711561886224224
10.9;15.9;94;5;17.638380932603106
11.1;20.0;98;290;20.35350058740725
11.7;20.1;98;294;20.512827892209813
12.1;20.9;97;310;20.807591453046463
12.5;21.6;95;320;21.094917052965044
12.3;24.8;100;478;22.39005857661954
12.2;25.9;99;388;21.511310381482872
12.0;26.4;97;352;21.213551812156137
11.6;25.4;96;64;18.268274597218664
11.2;23.7;96;6;17.601138620227296
10.8;23.3;92;5;17.7253533238461
10.7;22.0;89;5;17.865710163377127
11.1;18.0;95;5;17.62458949498123
10.8;16.6;97;5;17.458431082405912
11.0;17.4;99;5;17.391255196496
11.0;17.0;100;5;17.337870748207965
11.2;18.8;100;31;17.641027532100598
11.4;21.2;100;294;20.346669479634492
